h,k,l,intensity_exp,intensity_exp_err,intensity_sim,normalised_intensity_exp
0.0,-0.555555555555556,0.333333333333333,0.0,0.0,0.0041109016,0.0
0.0,-0.666666666666667,0.333333333333333,0.0,0.0,0.0071880613,0.0
0.0,-0.777777777777778,0.333333333333333,0.0,0.0,0.0033044305,0.0
0.0,-0.888888888888889,0.333333333333333,0.0,0.0,0.023358285,0.0
0.0,-1.0,0.333333333333333,0.0,0.0,0.0013902335,0.0
0.0,-1.11111111111111,0.333333333333333,0.0,0.0,0.0061629633,0.0
0.0,-1.22222222222222,0.333333333333333,0.0,0.0,0.00053312303,0.0
0.0,-1.33333333333333,0.333333333333333,0.0,0.0,0.0025237964,0.0
0.0,-1.44444444444444,0.333333333333333,0.0,0.0,0.00094395824,0.0
0.0,-1.55555555555556,0.333333333333333,0.0,0.0,0.00074496475,0.0
0.0,-1.66666666666667,0.333333333333333,0.0,0.0,0.00039615852,0.0
0.0,-1.77777777777778,0.333333333333333,0.0,0.0,0.0014401387,0.0
0.0,-1.88888888888889,0.333333333333333,0.0,0.0,0.0010460127,0.0
0.0,-2.0,0.333333333333333,0.0,0.0,0.016089266,0.0
0.0,-2.11111111111111,0.333333333333333,0.0,0.0,0.0025462513,0.0
0.0,-2.22222222222222,0.333333333333333,0.0,0.0,0.0026090813,0.0
0.0,-2.33333333333333,0.333333333333333,0.0,0.0,0.0019420336,0.0
0.0,-2.44444444444444,0.333333333333333,0.0,0.0,0.00402976,0.0
0.0,-2.55555555555556,0.333333333333333,0.0,0.0,0.0021221964,0.0
0.0,-2.66666666666667,0.333333333333333,0.0,0.0,0.0024573065,0.0
0.0,-2.77777777777778,0.333333333333333,0.0,0.0,0.0009890145,0.0
0.0,-2.88888888888889,0.333333333333333,0.0,0.0,0.0019002139,0.0
0.0,-3.0,0.333333333333333,0.0,0.0,0.009571331,0.0
0.0,-3.11111111111111,0.333333333333333,0.0,0.0,0.0016554839,0.0
0.0,-3.22222222222222,0.333333333333333,0.0,0.0,0.001911944,0.0
0.0,-3.33333333333333,0.333333333333333,0.0,0.0,0.001321213,0.0
0.0,-3.44444444444444,0.333333333333333,0.0,0.0,0.0011530066,0.0
0.0,-3.55555555555556,0.333333333333333,0.0,0.0,0.00042147125,0.0
0.0,-3.66666666666667,0.333333333333333,0.0,0.0,0.0013730022,0.0
0.0,-3.77777777777778,0.333333333333333,0.0,0.0,0.00044680503,0.0
0.0,-3.88888888888889,0.333333333333333,0.0,0.0,0.00013824516,0.0
0.0,-4.0,0.333333333333333,0.0,0.0,0.0017164785,0.0
0.0,-4.11111111111111,0.333333333333333,0.0,0.0,0.004391991,0.0
0.0,-4.22222222222222,0.333333333333333,0.0,0.0,0.0018424464,0.0
0.0,-4.33333333333333,0.333333333333333,0.0,0.0,0.00018165451,0.0
0.0,-4.44444444444444,0.333333333333333,0.0,0.0,0.00011362022,0.0
0.0,-4.55555555555556,0.333333333333333,0.0,0.0,0.0014316449,0.0
0.0,-4.66666666666667,0.333333333333333,0.0,0.0,4.4645654e-05,0.0
0.0,-4.77777777777778,0.333333333333333,0.0,0.0,0.0004918234,0.0
0.0,-4.88888888888889,0.333333333333333,0.0,0.0,0.001185234,0.0
0.0,-5.0,0.333333333333333,0.0,0.0,0.0012326197,0.0
0.0,-0.0,0.444444444444444,0.0,0.0,0.15690164,0.0
0.0,-0.111111111111111,0.444444444444444,0.0,0.0,0.0030265034,0.0
0.0,-0.222222222222222,0.444444444444444,0.0,0.0,0.0018551457,0.0
0.0,-0.333333333333333,0.444444444444444,0.0,0.0,0.0052611404,0.0
0.0,-0.444444444444444,0.444444444444444,0.0,0.0,0.0014459864,0.0
0.0,-0.555555555555556,0.444444444444444,0.0,0.0,0.016043587,0.0
0.0,-0.666666666666667,0.444444444444444,0.0,0.0,0.005690118,0.0
0.0,-0.777777777777778,0.444444444444444,0.0,0.0,0.0017762923,0.0
0.0,-0.888888888888889,0.444444444444444,0.0,0.0,0.025839115,0.0
0.0,-1.0,0.444444444444444,0.0,0.0,0.00045251893,0.0
0.0,-1.11111111111111,0.444444444444444,0.0,0.0,0.0076304404,0.0
0.0,-1.22222222222222,0.444444444444444,0.0,0.0,0.0012950195,0.0
0.0,-1.33333333333333,0.444444444444444,0.0,0.0,0.00046919618,0.0
0.0,-1.44444444444444,0.444444444444444,0.0,0.0,0.00072422804,0.0
0.0,-1.55555555555556,0.444444444444444,0.0,0.0,0.005294199,0.0
0.0,-1.66666666666667,0.444444444444444,0.0,0.0,0.004789409,0.0
0.0,-1.77777777777778,0.444444444444444,0.0,0.0,0.0068139196,0.0
0.0,-1.88888888888889,0.444444444444444,0.0,0.0,0.00024303544,0.0
0.0,-2.0,0.444444444444444,0.0,0.0,0.0049171126,0.0
0.0,-2.11111111111111,0.444444444444444,0.0,0.0,0.000849842,0.0
0.0,-2.22222222222222,0.444444444444444,0.0,0.0,0.0012375388,0.0
0.0,-2.33333333333333,0.444444444444444,0.0,0.0,0.001024582,0.0
0.0,-2.44444444444444,0.444444444444444,0.0,0.0,0.0017318607,0.0
0.0,-2.55555555555556,0.444444444444444,0.0,0.0,5.2202806e-05,0.0
0.0,-2.66666666666667,0.444444444444444,0.0,0.0,0.0049361843,0.0
0.0,-2.77777777777778,0.444444444444444,0.0,0.0,0.00237112,0.0
0.0,-2.88888888888889,0.444444444444444,0.0,0.0,0.005899225,0.0
0.0,-3.0,0.444444444444444,0.0,0.0,0.0041981474,0.0
0.0,-3.11111111111111,0.444444444444444,0.0,0.0,0.002655706,0.0
0.0,-3.22222222222222,0.444444444444444,0.0,0.0,0.00023117341,0.0
0.0,-3.33333333333333,0.444444444444444,0.0,0.0,0.00059439166,0.0
0.0,-3.44444444444444,0.444444444444444,0.0,0.0,0.0013323138,0.0
0.0,-3.55555555555556,0.444444444444444,0.0,0.0,0.00042300828,0.0
0.0,-3.66666666666667,0.444444444444444,0.0,0.0,0.002426848,0.0
0.0,-3.77777777777778,0.444444444444444,0.0,0.0,0.0010424078,0.0
0.0,-3.88888888888889,0.444444444444444,0.0,0.0,0.00014002265,0.0
0.0,-4.0,0.444444444444444,0.0,0.0,0.0017742044,0.0
0.0,-4.11111111111111,0.444444444444444,0.0,0.0,0.0032455253,0.0
0.0,-4.22222222222222,0.444444444444444,0.0,0.0,0.0007904477,0.0
0.0,-4.33333333333333,0.444444444444444,0.0,0.0,0.00028596472,0.0
0.0,-4.44444444444444,0.444444444444444,0.0,0.0,1.5041349e-05,0.0
0.0,-4.55555555555556,0.444444444444444,0.0,0.0,0.0013139828,0.0
0.0,-4.66666666666667,0.444444444444444,0.0,0.0,0.0005288282,0.0
0.0,-4.77777777777778,0.444444444444444,0.0,0.0,0.00013519588,0.0
0.0,-4.88888888888889,0.444444444444444,0.0,0.0,0.0016954702,0.0
0.0,-5.0,0.444444444444444,0.0,0.0,0.0013339124,0.0
0.0,-0.0,0.555555555555556,0.0,0.0,0.058361694,0.0
0.0,-0.111111111111111,0.555555555555556,0.0,0.0,0.002965811,0.0
0.0,-0.222222222222222,0.555555555555556,0.0,0.0,0.0019033438,0.0
0.0,-0.333333333333333,0.555555555555556,0.0,0.0,0.002557688,0.0
0.0,-0.444444444444444,0.555555555555556,0.0,0.0,0.0018976292,0.0
0.0,-0.555555555555556,0.555555555555556,0.0,0.0,0.012574958,0.0
0.0,-0.666666666666667,0.555555555555556,0.0,0.0,0.0016387698,0.0
0.0,-0.777777777777778,0.555555555555556,0.0,0.0,0.0017539047,0.0
0.0,-0.888888888888889,0.555555555555556,0.0,0.0,0.006203709,0.0
0.0,-1.0,0.555555555555556,0.0,0.0,0.009656634,0.0
0.0,-1.11111111111111,0.555555555555556,0.0,0.0,0.003342298,0.0
