h,k,l,intensity_exp,intensity_exp_err
-3,1,12,2627.612793,0
-3.333333333,1,12,8.629332594,0
-4,1,12,143.3495636,0
-1,1.333333333,12,6.300990404,0
-3,1.333333333,12,3.471987834,0
0,1.666666667,12,1.683429671,0
-2,1.666666667,12,1.614456461,0
-4,1.666666667,12,0.960448162,0
0,2,12,542.0249634,0
-0.333333333,2,12,0.910375587,0
-1,2,12,384.7380066,0
-1.666666667,2,12,1.576189071,0
-2,2,12,2510.218018,0
-2.333333333,2,12,3.8447446,0
-3,2,12,77.68180084,0
-3.333333333,2,12,1.261749339,0
-3.666666667,2,12,2.608665403,0
-4,2,12,3105.421631,0
0,2.333333333,12,6.519889017,0
-1,2.333333333,12,1.652524334,0
-2,2.333333333,12,3.422201621,0
-3,2.333333333,12,0.606455826,0
-4,2.333333333,12,1.213443995,0
-1,2.666666667,12,1.023775179,0
-3,2.666666667,12,0.402775011,0
0,3,12,22.8571949,0
-1,3,12,1365.453979,0
-1.333333333,3,12,1.547919749,0
-2,3,12,134.9296417,0
-2.333333333,3,12,0.511044189,0
-2.666666667,3,12,0.605657722,0
-3,3,12,934.2545166,0
-3.333333333,3,12,2.344891751,0
0,3.333333333,12,0.400805666,0
-1,3.333333333,12,1.267902419,0
-2,3.333333333,12,0.151618438,0
-3,3.333333333,12,0.840631726,0
0,3.666666667,12,0.53982763,0
-2,3.666666667,12,0.524220052,0
0,4,12,33.03874944,0
-1,4,12,8.386763573,0
-2,4,12,104.6119461,0
-2.333333333,4,12,0.815417741,0
-3,4,12,9.003343582,0
-3.333333333,4,12,0.262888449,0
-3.666666667,4,12,0.206168369,0
-4,4,12,1242.368408,0
