[O2-. ( 8), [0.7678, 0.5, 0.18307]]
[O2-. ( 8), [0.7322, 0.0, 0.8169299999999999]]
[O2-. ( 8), [0.23220000000000002, 0.5, 0.8169299999999999]]
[O2-. ( 8), [0.7678, 0.125, 0.68307]]
[O2-. ( 8), [0.26780000000000004, 0.625, 0.68307]]
[O2-. ( 8), [0.23219999999999996, 0.125, 0.31693000000000005]]
[O2-. ( 8), [0.7322, 0.625, 0.31693000000000005]]
[O2-. ( 8), [0.23219999999999996, 0.875, 0.31693000000000005]]
[O2-. ( 8), [0.7322, 0.375, 0.31693000000000005]]
[O2-. ( 8), [0.7678, 0.875, 0.68307]]
[O2-. ( 8), [0.26780000000000004, 0.375, 0.68307]]
[O2-. ( 8), [0.7678, 0.0, 0.18307]]
[O2-. ( 8), [0.26780000000000004, 0.5, 0.18307]]
[O2-. ( 8), [0.23219999999999996, 0.0, 0.8169299999999999]]
[O2-. ( 8), [0.7322, 0.5, 0.8169299999999999]]
[O2-. ( 8), [0.625, 0.1875, 0.00697]]
[O2-. ( 8), [0.125, 0.6875, 0.00697]]
[O2-. ( 8), [0.375, 0.1875, 0.99303]]
[O2-. ( 8), [0.875, 0.6875, 0.99303]]
[O2-. ( 8), [0.375, 0.8125, 0.99303]]
[O2-. ( 8), [0.875, 0.3125, 0.99303]]
[O2-. ( 8), [0.625, 0.8125, 0.00697]]
[O2-. ( 8), [0.125, 0.3125, 0.00697]]
[O2-. ( 8), [0.625, 0.3125, 0.50697]]
[O2-. ( 8), [0.125, 0.8125, 0.50697]]
[O2-. ( 8), [0.375, 0.3125, 0.49302999999999997]]
[O2-. ( 8), [0.875, 0.8125, 0.49302999999999997]]
[O2-. ( 8), [0.375, 0.6875, 0.49302999999999997]]
[O2-. ( 8), [0.875, 0.1875, 0.49302999999999997]]
[O2-. ( 8), [0.625, 0.6875, 0.50697]]
[O2-. ( 8), [0.125, 0.1875, 0.50697]]
[O2-. ( 8), [0.625, 0.4375, 0.00697]]
[O2-. ( 8), [0.125, 0.9375, 0.00697]]
[O2-. ( 8), [0.375, 0.4375, 0.99303]]
[O2-. ( 8), [0.875, 0.9375, 0.99303]]
[O2-. ( 8), [0.375, 0.5625, 0.99303]]
[O2-. ( 8), [0.875, 0.0625, 0.99303]]
[O2-. ( 8), [0.625, 0.5625, 0.00697]]
[O2-. ( 8), [0.125, 0.0625, 0.00697]]
[O2-. ( 8), [0.125, 0.0625, 0.50697]]
[O2-. ( 8), [0.625, 0.5625, 0.50697]]
[O2-. ( 8), [0.875, 0.0625, 0.49302999999999997]]
[O2-. ( 8), [0.375, 0.5625, 0.49302999999999997]]
[O2-. ( 8), [0.875, 0.9375, 0.49302999999999997]]
[O2-. ( 8), [0.375, 0.4375, 0.49302999999999997]]
[O2-. ( 8), [0.125, 0.9375, 0.50697]]
[O2-. ( 8), [0.625, 0.4375, 0.50697]]
[O2-. ( 8), [0.125, 0.1875, 0.00697]]
[O2-. ( 8), [0.625, 0.6875, 0.00697]]
[O2-. ( 8), [0.875, 0.1875, 0.99303]]
[O2-. ( 8), [0.375, 0.6875, 0.99303]]
[O2-. ( 8), [0.875, 0.8125, 0.99303]]
[O2-. ( 8), [0.375, 0.3125, 0.99303]]
[O2-. ( 8), [0.125, 0.8125, 0.00697]]
[O2-. ( 8), [0.625, 0.3125, 0.00697]]
[O2-. ( 8), [0.125, 0.3125, 0.50697]]
[O2-. ( 8), [0.625, 0.8125, 0.50697]]
[O2-. ( 8), [0.875, 0.3125, 0.49302999999999997]]
[O2-. ( 8), [0.375, 0.8125, 0.49302999999999997]]
[O2-. ( 8), [0.875, 0.6875, 0.49302999999999997]]
[O2-. ( 8), [0.375, 0.1875, 0.49302999999999997]]
[O2-. ( 8), [0.125, 0.6875, 0.50697]]
[O2-. ( 8), [0.625, 0.1875, 0.50697]]
[O2-. ( 8), [0.125, 0.4375, 0.00697]]
[O2-. ( 8), [0.625, 0.9375, 0.00697]]
[O2-. ( 8), [0.875, 0.4375, 0.99303]]
[O2-. ( 8), [0.375, 0.9375, 0.99303]]
[O2-. ( 8), [0.875, 0.5625, 0.99303]]
[O2-. ( 8), [0.375, 0.0625, 0.99303]]
[O2-. ( 8), [0.125, 0.5625, 0.00697]]
[O2-. ( 8), [0.625, 0.0625, 0.00697]]
[O2-. ( 8), [0.625, 0.0625, 0.50697]]
[O2-. ( 8), [0.125, 0.5625, 0.50697]]
[O2-. ( 8), [0.375, 0.0625, 0.49302999999999997]]
[O2-. ( 8), [0.875, 0.5625, 0.49302999999999997]]
[O2-. ( 8), [0.375, 0.9375, 0.49302999999999997]]
[O2-. ( 8), [0.875, 0.4375, 0.49302999999999997]]
[O2-. ( 8), [0.625, 0.9375, 0.50697]]
[O2-. ( 8), [0.125, 0.4375, 0.50697]]
[O2-. ( 8), [0.55, 0.1325, 0.182]]
[O2-. ( 8), [0.050000000000000044, 0.6325000000000001, 0.182]]
[O2-. ( 8), [0.44999999999999996, 0.1325, 0.8180000000000001]]
[O2-. ( 8), [0.95, 0.6325000000000001, 0.8180000000000001]]
[O2-. ( 8), [0.44999999999999996, 0.8674999999999999, 0.8180000000000001]]
[O2-. ( 8), [0.95, 0.3675, 0.8180000000000001]]
[O2-. ( 8), [0.55, 0.8674999999999999, 0.182]]
[O2-. ( 8), [0.050000000000000044, 0.3675, 0.182]]
[O2-. ( 8), [0.55, 0.2575, 0.682]]
[O2-. ( 8), [0.050000000000000044, 0.7575000000000001, 0.682]]
[O2-. ( 8), [0.44999999999999996, 0.2575, 0.31799999999999995]]
[O2-. ( 8), [0.95, 0.7575000000000001, 0.31799999999999995]]
[O2-. ( 8), [0.44999999999999996, 0.7424999999999999, 0.31799999999999995]]
[O2-. ( 8), [0.95, 0.2425, 0.31799999999999995]]
[O2-. ( 8), [0.55, 0.7424999999999999, 0.682]]
[O2-. ( 8), [0.050000000000000044, 0.2425, 0.682]]
[O2-. ( 8), [0.55, 0.3825, 0.182]]
[O2-. ( 8), [0.050000000000000044, 0.8825000000000001, 0.182]]
[O2-. ( 8), [0.44999999999999996, 0.3825, 0.8180000000000001]]
[O2-. ( 8), [0.95, 0.8825000000000001, 0.8180000000000001]]
[O2-. ( 8), [0.44999999999999996, 0.6174999999999999, 0.8180000000000001]]
[O2-. ( 8), [0.95, 0.1175, 0.8180000000000001]]
[O2-. ( 8), [0.55, 0.6174999999999999, 0.182]]
[O2-. ( 8), [0.050000000000000044, 0.1175, 0.182]]
[O2-. ( 8), [0.05, 0.0075, 0.682]]
[O2-. ( 8), [0.55, 0.5075, 0.682]]
[O2-. ( 8), [0.95, 0.0075, 0.31799999999999995]]
[O2-. ( 8), [0.45, 0.5075, 0.31799999999999995]]
[O2-. ( 8), [0.95, 0.9925, 0.31799999999999995]]
[O2-. ( 8), [0.45, 0.4925, 0.31799999999999995]]
[O2-. ( 8), [0.05, 0.9925, 0.682]]
[O2-. ( 8), [0.55, 0.4925, 0.682]]
[O2-. ( 8), [0.05, 0.1325, 0.182]]
[O2-. ( 8), [0.55, 0.6325000000000001, 0.182]]
[O2-. ( 8), [0.95, 0.1325, 0.8180000000000001]]
[O2-. ( 8), [0.45, 0.6325000000000001, 0.8180000000000001]]
[O2-. ( 8), [0.95, 0.8674999999999999, 0.8180000000000001]]
[O2-. ( 8), [0.45, 0.3675, 0.8180000000000001]]
[O2-. ( 8), [0.05, 0.8674999999999999, 0.182]]
[O2-. ( 8), [0.55, 0.3675, 0.182]]
[O2-. ( 8), [0.05, 0.2575, 0.682]]
[O2-. ( 8), [0.55, 0.7575000000000001, 0.682]]
[O2-. ( 8), [0.95, 0.2575, 0.31799999999999995]]
[O2-. ( 8), [0.45, 0.7575000000000001, 0.31799999999999995]]
[O2-. ( 8), [0.95, 0.7424999999999999, 0.31799999999999995]]
[O2-. ( 8), [0.45, 0.2425, 0.31799999999999995]]
[O2-. ( 8), [0.05, 0.7424999999999999, 0.682]]
[O2-. ( 8), [0.55, 0.2425, 0.682]]
[O2-. ( 8), [0.05, 0.3825, 0.182]]
[O2-. ( 8), [0.55, 0.8825000000000001, 0.182]]
[O2-. ( 8), [0.95, 0.3825, 0.8180000000000001]]
[O2-. ( 8), [0.45, 0.8825000000000001, 0.8180000000000001]]
[O2-. ( 8), [0.95, 0.6174999999999999, 0.8180000000000001]]
[O2-. ( 8), [0.45, 0.1175, 0.8180000000000001]]
[O2-. ( 8), [0.05, 0.6174999999999999, 0.182]]
[O2-. ( 8), [0.55, 0.1175, 0.182]]
[O2-. ( 8), [0.55, 0.0075, 0.682]]
[O2-. ( 8), [0.050000000000000044, 0.5075, 0.682]]
[O2-. ( 8), [0.44999999999999996, 0.0075, 0.31799999999999995]]
[O2-. ( 8), [0.95, 0.5075, 0.31799999999999995]]
[O2-. ( 8), [0.44999999999999996, 0.9925, 0.31799999999999995]]
[O2-. ( 8), [0.95, 0.4925, 0.31799999999999995]]
[O2-. ( 8), [0.55, 0.9925, 0.682]]
[O2-. ( 8), [0.050000000000000044, 0.4925, 0.682]]
[O2-. ( 8), [0.7, 0.2425, 0.182]]
[O2-. ( 8), [0.19999999999999996, 0.7424999999999999, 0.182]]
[O2-. ( 8), [0.30000000000000004, 0.2425, 0.8180000000000001]]
[O2-. ( 8), [0.8, 0.7424999999999999, 0.8180000000000001]]
[O2-. ( 8), [0.30000000000000004, 0.7575000000000001, 0.8180000000000001]]
[O2-. ( 8), [0.8, 0.2575, 0.8180000000000001]]
[O2-. ( 8), [0.7, 0.7575000000000001, 0.182]]
[O2-. ( 8), [0.19999999999999996, 0.2575, 0.182]]
[O2-. ( 8), [0.7, 0.3675, 0.682]]
[O2-. ( 8), [0.19999999999999996, 0.8674999999999999, 0.682]]
[O2-. ( 8), [0.30000000000000004, 0.3675, 0.31799999999999995]]
[O2-. ( 8), [0.8, 0.8674999999999999, 0.31799999999999995]]
[O2-. ( 8), [0.30000000000000004, 0.6325000000000001, 0.31799999999999995]]
[O2-. ( 8), [0.8, 0.1325, 0.31799999999999995]]
[O2-. ( 8), [0.7, 0.6325000000000001, 0.682]]
[O2-. ( 8), [0.19999999999999996, 0.1325, 0.682]]
[O2-. ( 8), [0.7, 0.4925, 0.182]]
[O2-. ( 8), [0.19999999999999996, 0.9924999999999999, 0.182]]
[O2-. ( 8), [0.30000000000000004, 0.4925, 0.8180000000000001]]
[O2-. ( 8), [0.8, 0.9924999999999999, 0.8180000000000001]]
[O2-. ( 8), [0.30000000000000004, 0.5075000000000001, 0.8180000000000001]]
[O2-. ( 8), [0.8, 0.007500000000000007, 0.8180000000000001]]
[O2-. ( 8), [0.7, 0.5075000000000001, 0.182]]
[O2-. ( 8), [0.19999999999999996, 0.007500000000000007, 0.182]]
[O2-. ( 8), [0.2, 0.1175, 0.682]]
[O2-. ( 8), [0.7, 0.6174999999999999, 0.682]]
[O2-. ( 8), [0.8, 0.1175, 0.31799999999999995]]
[O2-. ( 8), [0.3, 0.6174999999999999, 0.31799999999999995]]
[O2-. ( 8), [0.8, 0.8825000000000001, 0.31799999999999995]]
[O2-. ( 8), [0.3, 0.3825, 0.31799999999999995]]
[O2-. ( 8), [0.2, 0.8825000000000001, 0.682]]
[O2-. ( 8), [0.7, 0.3825, 0.682]]
[O2-. ( 8), [0.2, 0.2425, 0.182]]
[O2-. ( 8), [0.7, 0.7424999999999999, 0.182]]
[O2-. ( 8), [0.8, 0.2425, 0.8180000000000001]]
[O2-. ( 8), [0.3, 0.7424999999999999, 0.8180000000000001]]
[O2-. ( 8), [0.8, 0.7575000000000001, 0.8180000000000001]]
[O2-. ( 8), [0.3, 0.2575, 0.8180000000000001]]
